epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6411,2.63903,3.0168,3.49438,0.61082,0.85828,0.86418,0.54235,1.33248,2.04178,2.14111,0.000553371,0.000553371,0.000553371
2,103.587,1.79931,1.77836,2.36411,0.90756,0.96065,0.99101,0.64148,1.10742,0.85378,1.5331,0.00109806,0.00109806,0.00109806
3,153.101,1.57936,1.37713,2.09533,0.75953,0.95019,0.98542,0.39157,1.85938,1.55624,2.36631,0.00163174,0.00163174,0.00163174
4,202.874,1.40513,1.12848,1.9258,0.99698,0.99663,0.995,0.80679,0.84595,0.59773,1.36936,0.00161749,0.00161749,0.00161749
5,252.542,1.28144,0.98685,1.80319,0.99881,1,0.995,0.86995,0.58354,0.41404,1.10209,0.00160099,0.00160099,0.00160099
6,303.607,1.20272,0.8922,1.73609,0.9989,1,0.995,0.73282,1.0978,0.47803,1.43289,0.00158448,0.00158448,0.00158448
7,354.357,1.15474,0.8312,1.67335,0.99658,0.99637,0.995,0.83633,0.64669,0.41289,1.12408,0.00156798,0.00156798,0.00156798
8,404.741,1.1268,0.80123,1.64356,0.99923,1,0.995,0.86064,0.59366,0.37127,1.06933,0.00155148,0.00155148,0.00155148
9,455.647,1.09051,0.76552,1.62037,0.99912,1,0.995,0.8723,0.55548,0.35955,1.05575,0.00153497,0.00153497,0.00153497
10,506.73,1.0708,0.73683,1.58959,0.99783,1,0.995,0.82256,0.7394,0.3932,1.16118,0.00151847,0.00151847,0.00151847
11,557.462,1.04175,0.70803,1.56704,0.99825,1,0.995,0.8771,0.53212,0.33953,1.01923,0.00150197,0.00150197,0.00150197
12,608.754,1.00919,0.68544,1.53603,0.99854,1,0.995,0.89002,0.49477,0.31509,0.99329,0.00148546,0.00148546,0.00148546
13,659.277,0.99436,0.65528,1.51765,0.99744,1,0.995,0.89814,0.50395,0.31628,0.99641,0.00146896,0.00146896,0.00146896
14,709.656,0.98222,0.65,1.50794,0.99934,1,0.995,0.88245,0.55237,0.32603,1.02375,0.00145246,0.00145246,0.00145246
15,760.11,0.96696,0.63968,1.49795,0.99953,1,0.995,0.89458,0.51315,0.29879,1.00009,0.00143595,0.00143595,0.00143595
16,810.653,0.9503,0.62667,1.48242,0.99938,1,0.995,0.9043,0.49409,0.29722,0.9879,0.00141945,0.00141945,0.00141945
17,861.534,0.93424,0.60202,1.46401,0.99942,1,0.995,0.90142,0.50527,0.28776,0.98645,0.00140295,0.00140295,0.00140295
18,912.178,0.92492,0.60299,1.45372,0.99927,1,0.995,0.90402,0.46096,0.27937,0.96631,0.00138644,0.00138644,0.00138644
19,962.709,0.92219,0.58578,1.45425,0.99932,1,0.995,0.91459,0.43819,0.27095,0.95136,0.00136994,0.00136994,0.00136994
20,1013.73,0.91218,0.58343,1.43993,0.99952,1,0.995,0.90958,0.44058,0.26891,0.94727,0.00135344,0.00135344,0.00135344
21,1065.44,0.892,0.57252,1.42564,0.97639,0.98966,0.995,0.90196,0.44876,0.31545,0.95012,0.00133693,0.00133693,0.00133693
22,1115.85,0.88467,0.55595,1.41666,0.99936,1,0.995,0.92158,0.41226,0.25918,0.93118,0.00132043,0.00132043,0.00132043
23,1166.24,0.88475,0.5612,1.41833,0.99933,1,0.995,0.92199,0.40145,0.2424,0.92146,0.00130393,0.00130393,0.00130393
24,1216.85,0.87123,0.54303,1.40225,0.9995,1,0.995,0.91422,0.43194,0.27617,0.94307,0.00128742,0.00128742,0.00128742
25,1267.19,0.8774,0.56489,1.40451,0.99939,1,0.995,0.90218,0.47656,0.25823,0.96531,0.00127092,0.00127092,0.00127092
26,1317.77,0.86341,0.54144,1.3985,0.99941,1,0.995,0.92288,0.4358,0.25501,0.94134,0.00125442,0.00125442,0.00125442
27,1368.53,0.8553,0.52827,1.38367,0.99942,1,0.995,0.91784,0.42538,0.25238,0.93454,0.00123791,0.00123791,0.00123791
28,1419.23,0.85362,0.52585,1.38728,0.99957,1,0.995,0.93097,0.39936,0.24925,0.92071,0.00122141,0.00122141,0.00122141
29,1469.18,0.84365,0.51638,1.3823,0.99951,1,0.995,0.91072,0.41935,0.25019,0.92472,0.00120491,0.00120491,0.00120491
30,1520.11,0.84391,0.51304,1.37503,0.99954,1,0.995,0.93812,0.39977,0.23937,0.91323,0.0011884,0.0011884,0.0011884
31,1570.66,0.84315,0.51677,1.37184,0.99933,1,0.995,0.92118,0.41967,0.2394,0.93663,0.0011719,0.0011719,0.0011719
32,1621.13,0.8246,0.50433,1.36577,0.99952,1,0.995,0.93829,0.38702,0.22757,0.92071,0.0011554,0.0011554,0.0011554
33,1671.79,0.82445,0.50449,1.36067,0.99953,1,0.995,0.94689,0.37668,0.22973,0.90987,0.00113889,0.00113889,0.00113889
34,1722.09,0.81014,0.49824,1.35815,0.99954,1,0.995,0.93438,0.38804,0.22481,0.9118,0.00112239,0.00112239,0.00112239
35,1772.2,0.81187,0.49509,1.34938,0.99957,1,0.995,0.94103,0.37182,0.2165,0.8986,0.00110589,0.00110589,0.00110589
36,1822.58,0.8297,0.49901,1.36149,0.99958,1,0.995,0.93224,0.39103,0.22128,0.90565,0.00108938,0.00108938,0.00108938
37,1873.07,0.81158,0.4962,1.34431,0.99951,1,0.995,0.93968,0.38142,0.21529,0.90718,0.00107288,0.00107288,0.00107288
38,1923.61,0.80991,0.49148,1.3504,0.99953,1,0.995,0.93531,0.38632,0.2139,0.90718,0.00105638,0.00105638,0.00105638
39,1973.71,0.8018,0.48372,1.33987,0.99962,1,0.995,0.93628,0.39658,0.22868,0.91423,0.00103987,0.00103987,0.00103987
40,2024.57,0.79375,0.47178,1.33448,0.99953,1,0.995,0.92981,0.38399,0.22322,0.90535,0.00102337,0.00102337,0.00102337
41,2075.62,0.79705,0.47652,1.33542,0.99956,1,0.995,0.94568,0.36074,0.20928,0.89182,0.00100687,0.00100687,0.00100687
42,2126.3,0.78852,0.46839,1.33016,0.99953,1,0.995,0.93461,0.39621,0.21688,0.91749,0.000990365,0.000990365,0.000990365
43,2176.67,0.78185,0.46033,1.32169,0.99953,1,0.995,0.93664,0.38082,0.21235,0.90087,0.000973861,0.000973861,0.000973861
